Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN34973,,0.0,0.0,1.0,,,,,2018.0,5.0,,Complementary,0.0,0.0,0.0,0.0,0.0,0.0
INN09837,2.0,0.0,,2.0,Not Selected,,,,2018.0,10.0,,,,0.0,,,0.0,1.0
INN35214,2.0,,,3.0,Meal Plan 1,0.0,,,2018.0,5.0,17.0,,,0.0,0.0,,2.0,0.0
INN19243,1.0,0.0,,,,,,,2018.0,9.0,,Offline,0.0,0.0,,70.0,0.0,0.0
INN27196,3.0,,,2.0,,,,,2018.0,9.0,,Offline,0.0,0.0,0.0,,0.0,0.0
INN25342,2.0,,,1.0,,,Room_Type 1,,2018.0,4.0,,,,0.0,,,1.0,0.0
INN22577,2.0,,,3.0,Meal Plan 1,,,,2018.0,9.0,,,,0.0,0.0,,1.0,1.0
INN19737,2.0,,0.0,2.0,,0.0,,,2017.0,9.0,4.0,Offline,,0.0,0.0,,0.0,0.0
INN24268,2.0,,,,Meal Plan 1,,,73.0,,12.0,,Offline,,0.0,0.0,,0.0,0.0
INN10712,2.0,,,2.0,Meal Plan 1,,Room_Type 1,,2018.0,4.0,,Online,0.0,0.0,0.0,86.7,3.0,0.0
INN12064,2.0,,,5.0,,,Room_Type 1,,2018.0,7.0,,Online,0.0,0.0,,107.95,1.0,0.0
INN19274,2.0,0.0,,2.0,Meal Plan 1,0.0,,,2018.0,6.0,17.0,Online,,0.0,0.0,,1.0,1.0
INN12241,,0.0,,3.0,Meal Plan 1,0.0,,,,10.0,,,,0.0,0.0,104.4,0.0,0.0
INN26478,2.0,,,,,0.0,,,2018.0,7.0,,Online,,0.0,0.0,94.5,1.0,0.0
INN34461,2.0,,,,Meal Plan 2,,,,2018.0,6.0,6.0,,,0.0,0.0,,1.0,1.0
INN04059,2.0,,,2.0,Meal Plan 1,0.0,,163.0,2018.0,9.0,,Online,0.0,0.0,0.0,,,1.0
INN27499,2.0,0.0,,1.0,Meal Plan 2,,,145.0,2017.0,8.0,,Offline,,0.0,0.0,,,0.0
INN28882,2.0,,1.0,,Not Selected,0.0,,34.0,2018.0,3.0,,Online,,0.0,0.0,,1.0,0.0
INN17860,2.0,,,3.0,,,,,2018.0,9.0,,,,0.0,,,0.0,1.0
INN04668,2.0,,,1.0,,1.0,,,2018.0,6.0,,,0.0,0.0,0.0,,1.0,1.0
INN19190,2.0,,,4.0,Meal Plan 1,,,,2018.0,9.0,,,,0.0,0.0,,1.0,1.0
INN34643,2.0,,,5.0,Not Selected,,,,2018.0,3.0,,,,0.0,0.0,,,0.0
INN19617,2.0,0.0,2.0,0.0,Not Selected,0.0,Room_Type 1,54.0,2018.0,7.0,10.0,Online,,0.0,,,0.0,1.0
INN14399,2.0,0.0,,2.0,Meal Plan 1,,,,2018.0,5.0,,Offline,,0.0,0.0,,0.0,1.0
INN26804,1.0,,,0.0,Meal Plan 1,0.0,,,2018.0,4.0,,Complementary,,0.0,,0.0,2.0,0.0
INN22359,2.0,,2.0,,Meal Plan 1,,Room_Type 4,,2018.0,3.0,30.0,,,0.0,,132.0,0.0,1.0
INN09299,,,,9.0,,,,,2018.0,12.0,13.0,,,0.0,,,1.0,0.0
INN24047,2.0,,,1.0,,0.0,,61.0,,8.0,28.0,Offline,,0.0,0.0,,0.0,0.0
INN10027,2.0,,,4.0,Meal Plan 1,,Room_Type 4,34.0,2018.0,4.0,,,,0.0,0.0,,0.0,1.0
INN21466,2.0,,,1.0,,,Room_Type 1,,2017.0,10.0,,,,0.0,0.0,,1.0,0.0
INN30648,2.0,,,,,,Room_Type 1,87.0,2018.0,6.0,,Offline,0.0,0.0,,,,0.0
INN00792,2.0,,2.0,2.0,Meal Plan 1,0.0,,,2018.0,3.0,,Online,,0.0,,,0.0,1.0
INN33411,2.0,0.0,,1.0,Meal Plan 1,,,,2018.0,7.0,,Online,,0.0,0.0,135.9,2.0,0.0
INN08469,2.0,,0.0,,,0.0,Room_Type 1,177.0,,8.0,,,,0.0,,,2.0,0.0
INN24270,2.0,,,1.0,Meal Plan 2,0.0,,,,6.0,,,,0.0,0.0,,1.0,1.0
INN07388,2.0,,1.0,,Not Selected,,,,2018.0,5.0,,Online,0.0,0.0,,,0.0,1.0
INN13988,2.0,,0.0,,Meal Plan 1,,,,2017.0,10.0,,Offline,,0.0,0.0,,0.0,0.0
INN30968,1.0,0.0,,,,0.0,Room_Type 1,,2018.0,,,Offline,,0.0,0.0,75.0,0.0,0.0
INN18949,2.0,,,3.0,,0.0,,,2018.0,1.0,,Online,,0.0,,,0.0,0.0
INN34036,2.0,,,1.0,,0.0,Room_Type 1,,2018.0,11.0,,,,0.0,,170.1,1.0,0.0
INN22137,2.0,,,2.0,,0.0,,,2018.0,2.0,8.0,Offline,,0.0,0.0,,0.0,0.0
INN08120,1.0,0.0,,,,0.0,,,2018.0,6.0,,Offline,0.0,0.0,,,0.0,0.0
INN02098,2.0,,,1.0,,,,,2018.0,10.0,23.0,Offline,,0.0,0.0,,1.0,0.0
INN20773,2.0,,,,Meal Plan 1,,,,2018.0,4.0,,,,0.0,,,1.0,0.0
INN21153,2.0,,,5.0,,0.0,,,2018.0,8.0,,Online,,0.0,0.0,63.11,,0.0
INN22228,2.0,,0.0,3.0,,,,,2018.0,2.0,18.0,Online,,0.0,,,0.0,0.0
INN13022,2.0,,,,,0.0,,,2017.0,10.0,,,,0.0,0.0,,2.0,0.0
INN16136,2.0,,,4.0,Not Selected,0.0,Room_Type 1,,2018.0,7.0,,Online,,0.0,,,0.0,0.0
INN29525,1.0,,0.0,,Not Selected,0.0,,,2018.0,7.0,,,0.0,0.0,,99.0,1.0,0.0
INN02186,2.0,,,2.0,Meal Plan 2,,,,,10.0,,Offline,0.0,0.0,,136.0,0.0,0.0
INN30035,2.0,,,3.0,Meal Plan 1,0.0,,,2018.0,,,Online,,0.0,0.0,106.5,,0.0
INN05217,2.0,,,4.0,Meal Plan 1,0.0,,,2018.0,3.0,,Online,,0.0,,,1.0,0.0
INN12117,1.0,,0.0,1.0,Meal Plan 1,,Room_Type 1,6.0,2018.0,10.0,,,,0.0,0.0,,0.0,0.0
INN09239,2.0,,,2.0,,0.0,,30.0,,6.0,2.0,Offline,,0.0,,140.0,0.0,0.0
INN21064,2.0,,,2.0,,,,,2018.0,5.0,31.0,,,0.0,,,1.0,0.0
INN33385,2.0,,1.0,3.0,Not Selected,0.0,,,2018.0,9.0,,Online,,0.0,0.0,,0.0,1.0
INN07389,2.0,,,3.0,,0.0,,,2018.0,6.0,,Online,,0.0,0.0,116.1,1.0,0.0
INN20411,2.0,0.0,,2.0,,0.0,,,2018.0,8.0,,,,0.0,,,,0.0
INN25138,2.0,,,,,,,,,8.0,4.0,Online,,0.0,0.0,110.19,0.0,0.0
INN03762,2.0,0.0,,1.0,Meal Plan 1,0.0,,14.0,2017.0,9.0,,Online,,0.0,,,1.0,0.0
INN13021,,,,2.0,,0.0,Room_Type 1,62.0,2018.0,9.0,,,,0.0,0.0,,2.0,0.0
INN23432,2.0,0.0,,3.0,Meal Plan 1,0.0,Room_Type 1,6.0,2017.0,9.0,15.0,,,0.0,0.0,,0.0,0.0
INN30465,1.0,0.0,0.0,,,,,,,8.0,,,0.0,0.0,,,0.0,0.0
INN17226,2.0,0.0,,3.0,,,Room_Type 1,,2018.0,10.0,,,,0.0,,108.0,0.0,1.0
INN28249,2.0,0.0,,,Meal Plan 2,0.0,,,2017.0,10.0,,Offline,,0.0,,,,0.0
INN04284,1.0,,,4.0,Meal Plan 1,,,,2018.0,7.0,,Online,,0.0,0.0,110.0,0.0,1.0
INN18685,1.0,,,2.0,Meal Plan 1,0.0,,,2017.0,10.0,,,,0.0,,,0.0,0.0
INN21939,1.0,,2.0,3.0,Meal Plan 1,0.0,,,2018.0,2.0,,Offline,,0.0,0.0,,0.0,1.0
INN01339,3.0,,2.0,1.0,Meal Plan 1,0.0,,,2018.0,10.0,,Online,,0.0,,,,
INN31189,,,,3.0,,0.0,,,2018.0,4.0,,,,0.0,0.0,78.0,0.0,0.0
INN34154,2.0,,0.0,,,0.0,Room_Type 1,,2018.0,6.0,,Online,,0.0,,,1.0,0.0
INN17448,3.0,,2.0,1.0,Meal Plan 1,0.0,,,2018.0,8.0,28.0,Online,,0.0,0.0,,0.0,1.0
INN35091,2.0,,,,Meal Plan 1,,,90.0,2017.0,9.0,,Online,,0.0,,,0.0,1.0
INN25565,2.0,,,1.0,Meal Plan 1,,Room_Type 1,,2018.0,2.0,,Online,0.0,0.0,,80.3,1.0,0.0
INN06485,2.0,,,5.0,,0.0,Room_Type 4,,2018.0,8.0,,Online,0.0,0.0,,,0.0,1.0
INN17029,2.0,,,,,0.0,,,2018.0,7.0,,Online,,0.0,,118.15,1.0,0.0
INN32382,2.0,,,,Meal Plan 1,0.0,,19.0,2017.0,10.0,,Online,0.0,0.0,0.0,,1.0,0.0
INN18835,3.0,,,,Meal Plan 1,0.0,Room_Type 1,,2018.0,8.0,,,,0.0,0.0,146.7,1.0,1.0
INN05389,2.0,,,2.0,,0.0,,35.0,,1.0,29.0,,,0.0,,,1.0,0.0
INN32412,3.0,,,2.0,Meal Plan 1,0.0,,239.0,2018.0,10.0,28.0,Online,,0.0,0.0,,0.0,1.0
INN26939,,,,0.0,Meal Plan 1,,,,2018.0,4.0,,,,0.0,0.0,,0.0,1.0
INN22582,2.0,,,2.0,,,Room_Type 1,,2018.0,9.0,,Online,,0.0,0.0,,0.0,1.0
INN05781,,,,3.0,Meal Plan 2,0.0,,,2018.0,12.0,,Online,,0.0,0.0,,3.0,0.0
INN18522,2.0,,,1.0,,0.0,,,,9.0,,,,0.0,,,3.0,0.0
INN27443,2.0,,2.0,1.0,Meal Plan 1,0.0,Room_Type 1,24.0,2018.0,,,Offline,,0.0,,,0.0,0.0
INN16011,2.0,,,,,0.0,,,2018.0,11.0,20.0,Online,0.0,0.0,,,0.0,1.0
INN34068,1.0,,,0.0,,,Room_Type 1,,2018.0,10.0,,,,0.0,0.0,,,0.0
INN01442,2.0,0.0,,2.0,,0.0,Room_Type 1,,2017.0,12.0,,,,0.0,,81.0,,0.0
INN03435,2.0,,,3.0,,0.0,Room_Type 4,68.0,,10.0,,,,0.0,0.0,,2.0,0.0
INN14213,2.0,,,2.0,Meal Plan 2,,Room_Type 1,,2017.0,10.0,,Offline,,0.0,,,,1.0
INN08133,2.0,,,2.0,Meal Plan 1,0.0,,,2018.0,10.0,,Offline,0.0,0.0,,,1.0,0.0
INN35975,1.0,,,1.0,Meal Plan 1,0.0,,,2018.0,11.0,7.0,Online,0.0,0.0,,,1.0,0.0
INN18428,2.0,,,2.0,,0.0,,,2018.0,12.0,,,,0.0,,52.0,0.0,0.0
INN34717,2.0,,,,,0.0,,,2017.0,8.0,,,,0.0,,75.0,1.0,0.0
INN19757,,0.0,,3.0,,,Room_Type 1,,2018.0,12.0,8.0,Online,,0.0,0.0,92.67,0.0,0.0
INN06401,1.0,,,,Meal Plan 1,0.0,,,2018.0,1.0,,Corporate,,0.0,,,0.0,0.0
INN27705,2.0,,,2.0,Meal Plan 1,0.0,,,2018.0,12.0,,Online,,0.0,0.0,,0.0,0.0
INN09385,2.0,0.0,,,Meal Plan 1,0.0,Room_Type 1,,2017.0,12.0,,,0.0,0.0,0.0,,1.0,0.0
INN34959,2.0,,,,Meal Plan 1,,Room_Type 1,17.0,2017.0,10.0,,,0.0,0.0,0.0,,0.0,0.0
INN09619,2.0,,0.0,3.0,Meal Plan 1,0.0,,,2017.0,9.0,,,0.0,0.0,,,2.0,0.0
INN14225,2.0,,,0.0,Not Selected,,,54.0,2018.0,7.0,,,,0.0,,,0.0,1.0
INN06597,,,,,Meal Plan 1,0.0,,58.0,2018.0,6.0,,,,0.0,,,2.0,0.0
INN02361,2.0,0.0,,2.0,,,Room_Type 1,,2018.0,11.0,,Online,0.0,0.0,0.0,,0.0,1.0
INN20071,2.0,,,,,,,,2018.0,9.0,,Offline,,0.0,0.0,,0.0,1.0
INN29491,2.0,,,1.0,,0.0,,,2018.0,8.0,,Online,,0.0,0.0,,2.0,0.0
INN31594,2.0,,,,Meal Plan 1,,,,2017.0,10.0,,,,0.0,,,0.0,0.0
INN30816,1.0,,,2.0,Meal Plan 1,0.0,Room_Type 1,181.0,2018.0,10.0,,Offline,0.0,0.0,,,0.0,
INN11904,2.0,,,1.0,Meal Plan 1,0.0,Room_Type 4,,2018.0,4.0,2.0,Online,,0.0,0.0,,,0.0
INN29840,2.0,,,,Not Selected,,,,2018.0,5.0,,,,0.0,,,0.0,0.0
INN03929,1.0,,,2.0,,,Room_Type 1,,2018.0,6.0,,,0.0,0.0,,,0.0,0.0
INN31103,2.0,,,,,0.0,,,2018.0,11.0,,Online,0.0,0.0,,74.8,,0.0
INN29114,,0.0,,3.0,Meal Plan 1,0.0,,,2018.0,7.0,,Offline,,0.0,,,1.0,0.0
INN03376,2.0,0.0,,1.0,Meal Plan 1,,,10.0,2018.0,9.0,11.0,Online,,0.0,0.0,,,0.0
INN03078,2.0,,,3.0,Meal Plan 2,,,,2018.0,7.0,,,,0.0,0.0,,,0.0
INN28618,2.0,0.0,,2.0,Meal Plan 2,,,,2018.0,1.0,,Online,0.0,0.0,0.0,,1.0,0.0
INN10437,2.0,,,,Meal Plan 1,0.0,,,2018.0,12.0,,Online,,0.0,0.0,93.6,2.0,0.0
INN04270,2.0,0.0,,,,,Room_Type 1,299.0,2018.0,9.0,,Online,,0.0,,,0.0,1.0
INN09526,,0.0,,2.0,Meal Plan 1,0.0,,,2018.0,6.0,,Offline,,0.0,0.0,,0.0,1.0
INN01147,2.0,,,2.0,,0.0,Room_Type 1,,2018.0,11.0,,,,0.0,0.0,,1.0,1.0
INN20536,2.0,,,3.0,Meal Plan 1,0.0,,2.0,2017.0,12.0,,Online,,0.0,0.0,,1.0,0.0
INN13730,3.0,,,,,,,,,2.0,,Online,,0.0,,130.0,2.0,0.0
INN16537,1.0,,,2.0,,,Room_Type 4,,2018.0,4.0,,Online,,0.0,,,,1.0
INN33773,2.0,,,,,,,,2018.0,3.0,,Online,,0.0,,89.75,0.0,0.0
INN16202,2.0,,0.0,2.0,Meal Plan 1,,Room_Type 1,,2018.0,11.0,,Offline,0.0,0.0,,52.0,0.0,1.0
INN34524,2.0,,,1.0,Meal Plan 1,0.0,,,2018.0,10.0,,Online,0.0,0.0,,,2.0,0.0
INN20083,2.0,,1.0,,,0.0,Room_Type 6,,2017.0,9.0,,Online,,0.0,0.0,166.0,3.0,0.0
INN18844,2.0,,0.0,2.0,Meal Plan 1,0.0,,,2018.0,11.0,,Online,0.0,0.0,0.0,,2.0,1.0
INN04171,2.0,,,,,,Room_Type 1,,2017.0,9.0,20.0,,,0.0,,138.57,2.0,0.0
INN16722,2.0,0.0,,2.0,,0.0,Room_Type 1,,2017.0,8.0,,,0.0,0.0,,,2.0,0.0
INN29408,2.0,,0.0,1.0,Meal Plan 1,,Room_Type 1,,2018.0,6.0,,,,0.0,0.0,149.0,1.0,0.0
INN35648,2.0,,,2.0,,,,102.0,2017.0,10.0,,,,0.0,,,0.0,0.0
INN19267,2.0,,,3.0,Meal Plan 1,,Room_Type 4,,2018.0,9.0,,Online,0.0,0.0,0.0,94.86,1.0,0.0
INN01163,,,,7.0,Meal Plan 1,0.0,Room_Type 4,,2018.0,,,Online,0.0,0.0,,127.22,1.0,1.0
INN27978,2.0,0.0,,3.0,,0.0,Room_Type 1,73.0,2017.0,11.0,24.0,,0.0,0.0,,,0.0,0.0
INN02572,,,,1.0,Meal Plan 1,0.0,,,2018.0,8.0,,,0.0,0.0,,,2.0,0.0
INN04033,3.0,,,3.0,Meal Plan 1,,,,2017.0,10.0,,,,0.0,,99.71,2.0,0.0
INN10528,,,,3.0,,0.0,Room_Type 1,,2017.0,10.0,,,,0.0,0.0,,0.0,0.0
INN04200,3.0,,,,,0.0,,35.0,,9.0,5.0,Online,,0.0,,,0.0,0.0
INN16614,2.0,0.0,,3.0,Meal Plan 1,0.0,,,2018.0,9.0,,Offline,,0.0,,,0.0,1.0
INN19316,2.0,,,,Meal Plan 2,,,110.0,2018.0,7.0,,Offline,0.0,0.0,,,0.0,0.0
INN21751,2.0,,,1.0,Meal Plan 1,0.0,Room_Type 1,,2018.0,4.0,,,,0.0,,149.0,0.0,0.0
INN31642,2.0,,1.0,2.0,Meal Plan 2,0.0,,,2018.0,3.0,,Offline,,0.0,,130.0,0.0,1.0
INN13582,2.0,,,1.0,Meal Plan 1,0.0,,,,7.0,,Online,,0.0,,109.8,1.0,1.0
INN17136,2.0,,1.0,1.0,,,Room_Type 6,,,2.0,,Online,,0.0,0.0,173.0,2.0,0.0
INN30488,2.0,0.0,,,Meal Plan 1,0.0,,,2017.0,10.0,,Online,,0.0,,,2.0,0.0
INN06889,1.0,,,3.0,,0.0,Room_Type 1,,2018.0,9.0,,,0.0,0.0,,,2.0,
INN15216,2.0,,,3.0,,,,74.0,2018.0,5.0,,Offline,,0.0,0.0,80.75,1.0,0.0
INN35920,2.0,,,2.0,,,,292.0,2018.0,7.0,,,,0.0,,,0.0,1.0
INN25303,,,,3.0,Meal Plan 1,,Room_Type 1,,,6.0,,,,0.0,,,0.0,1.0
INN23531,,0.0,0.0,3.0,Meal Plan 1,,,,2018.0,1.0,,,,0.0,0.0,,,0.0
INN32639,1.0,,,1.0,Meal Plan 1,,,,,10.0,15.0,Offline,,0.0,0.0,,0.0,0.0
INN18606,2.0,0.0,,,,0.0,Room_Type 1,,2018.0,11.0,,Offline,,0.0,0.0,,0.0,0.0
INN14758,1.0,,1.0,,,,Room_Type 1,,2018.0,7.0,,Offline,0.0,0.0,0.0,75.0,0.0,1.0
INN22405,2.0,,,,,0.0,Room_Type 4,,2018.0,11.0,,,,0.0,0.0,,1.0,0.0
INN10184,2.0,0.0,,1.0,Meal Plan 1,0.0,,,2018.0,8.0,14.0,,,0.0,0.0,,,0.0
INN09647,1.0,,,2.0,Not Selected,0.0,,,2018.0,10.0,28.0,,0.0,0.0,0.0,80.1,0.0,1.0
INN11030,2.0,,,1.0,,0.0,,,2018.0,9.0,,Online,,0.0,,,0.0,1.0
INN09656,1.0,,,2.0,Meal Plan 1,,,,2017.0,8.0,,,,0.0,0.0,,2.0,
INN29834,1.0,,,2.0,,,,,2018.0,5.0,,Online,0.0,0.0,,,0.0,0.0
INN29065,2.0,,1.0,,,0.0,,,2018.0,5.0,19.0,,,0.0,,,0.0,1.0
INN03923,2.0,,,2.0,,,,,2018.0,,,,,0.0,0.0,,2.0,0.0
INN14525,2.0,,,1.0,,,,,2017.0,12.0,,Online,0.0,0.0,,72.25,3.0,0.0
INN23051,,,,2.0,,,,,2017.0,9.0,,Corporate,,0.0,,,0.0,0.0
INN33566,2.0,,,0.0,Meal Plan 1,0.0,,,2018.0,12.0,,,0.0,0.0,0.0,,0.0,0.0
INN35827,,,,3.0,Meal Plan 1,,,,2018.0,9.0,,Online,0.0,0.0,0.0,,2.0,0.0
INN07011,2.0,,,3.0,,,Room_Type 1,,,4.0,,,,0.0,0.0,,2.0,0.0
INN19958,2.0,0.0,,,Meal Plan 1,,Room_Type 1,,2018.0,7.0,,,,0.0,,,0.0,1.0
INN27016,2.0,,,0.0,Not Selected,0.0,,,2018.0,2.0,,Online,,0.0,,79.0,0.0,1.0
INN08635,,,,1.0,,,Room_Type 2,,2018.0,3.0,,Online,,0.0,0.0,,,0.0
INN19822,2.0,,,2.0,,,Room_Type 1,,2018.0,4.0,,,0.0,0.0,,,1.0,0.0
INN13240,1.0,,,3.0,Meal Plan 1,0.0,Room_Type 1,,2017.0,9.0,,Online,0.0,0.0,0.0,,,0.0
INN35832,2.0,,,,,0.0,,,2018.0,1.0,,,,0.0,0.0,64.0,0.0,0.0
INN21804,3.0,,,4.0,,,Room_Type 4,,,9.0,,,,0.0,0.0,115.6,0.0,1.0
INN29847,2.0,,,2.0,,,,,2018.0,7.0,8.0,,,0.0,0.0,94.5,0.0,1.0
INN11166,2.0,,0.0,2.0,Meal Plan 2,,,63.0,2017.0,9.0,,Offline,,0.0,0.0,,0.0,0.0
INN26822,2.0,,,1.0,Meal Plan 1,0.0,,115.0,2018.0,5.0,,Offline,0.0,0.0,0.0,,0.0,0.0
INN35017,3.0,0.0,1.0,5.0,,0.0,,,2018.0,8.0,,Online,,0.0,0.0,,1.0,0.0
INN21769,1.0,,,,,0.0,Room_Type 1,,2017.0,,,Corporate,,0.0,0.0,,0.0,0.0
INN04626,1.0,,,3.0,,,,,2018.0,6.0,,,0.0,0.0,,,0.0,0.0
INN01396,0.0,,,4.0,Meal Plan 1,,,,2018.0,4.0,,Online,,0.0,,,1.0,0.0
INN30719,2.0,,,,,,Room_Type 1,,,7.0,16.0,,0.0,0.0,,,,0.0
INN31087,1.0,,,0.0,Not Selected,0.0,,,2018.0,4.0,,,,0.0,0.0,,0.0,0.0
INN16595,1.0,,,2.0,,0.0,,,2017.0,10.0,,Offline,,0.0,0.0,,,0.0
INN16326,2.0,0.0,0.0,2.0,,,Room_Type 1,,2018.0,11.0,,,,0.0,,,1.0,0.0
INN33554,2.0,,,2.0,Meal Plan 1,0.0,,36.0,2018.0,11.0,,,,0.0,,,3.0,0.0
INN05039,2.0,0.0,,3.0,,0.0,,0.0,2018.0,7.0,,,,0.0,,110.46,,0.0
INN12618,,,,1.0,Meal Plan 1,,,,2018.0,8.0,,,,0.0,0.0,128.7,,1.0
INN16717,2.0,,,2.0,,0.0,Room_Type 1,,2018.0,9.0,,Online,,0.0,,,1.0,1.0
INN05687,2.0,,0.0,3.0,,0.0,Room_Type 1,,2017.0,8.0,5.0,,,0.0,0.0,65.0,0.0,0.0
